"","x"
"1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"2","REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE"
"3","REACTOME_AUTOPHAGY"
"4","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"5","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"6","REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA"
"7","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"8","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"9","REACTOME_CRISTAE_FORMATION"
"10","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"11","REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX"
"12","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"13","REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR"
"14","REACTOME_EPH_EPHRIN_SIGNALING"
"15","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"16","REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION"
"17","REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS"
"18","REACTOME_HEMOSTASIS"
"19","REACTOME_HIV_INFECTION"
"20","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS"
"21","REACTOME_INFECTIOUS_DISEASE"
"22","REACTOME_INNATE_IMMUNE_SYSTEM"
"23","REACTOME_INTERLEUKIN_10_SIGNALING"
"24","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"
"25","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"26","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"27","REACTOME_MEMBRANE_TRAFFICKING"
"28","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"29","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"30","REACTOME_METABOLISM_OF_LIPIDS"
"31","REACTOME_METABOLISM_OF_POLYAMINES"
"32","REACTOME_METABOLISM_OF_STEROIDS"
"33","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"34","REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION"
"35","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"36","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"37","REACTOME_NEUTROPHIL_DEGRANULATION"
"38","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"39","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"40","REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS"
"41","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"42","REACTOME_PROGRAMMED_CELL_DEATH"
"43","REACTOME_PROTEIN_LOCALIZATION"
"44","REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY"
"45","REACTOME_RHOQ_GTPASE_CYCLE"
"46","REACTOME_SIGNALING_BY_GPCR"
"47","REACTOME_SIGNALING_BY_INTERLEUKINS"
"48","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"49","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"50","REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS"
"51","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"52","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
"53","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"54","REACTOME_TRANSLATION"
"55","REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES"
"56","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"57","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"
