"","x"
"1","REACTOME_BIOLOGICAL_OXIDATIONS"
"2","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"3","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"4","REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA"
"5","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"6","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"7","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"8","REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX"
"9","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"10","REACTOME_EPH_EPHRIN_SIGNALING"
"11","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"12","REACTOME_HEMOSTASIS"
"13","REACTOME_HIV_INFECTION"
"14","REACTOME_INNATE_IMMUNE_SYSTEM"
"15","REACTOME_INTERLEUKIN_1_SIGNALING"
"16","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"
"17","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"18","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"19","REACTOME_MEMBRANE_TRAFFICKING"
"20","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"21","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"22","REACTOME_METABOLISM_OF_LIPIDS"
"23","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"24","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"25","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"26","REACTOME_NEUTROPHIL_DEGRANULATION"
"27","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"28","REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS"
"29","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"30","REACTOME_PROTEIN_LOCALIZATION"
"31","REACTOME_RHOQ_GTPASE_CYCLE"
"32","REACTOME_SIGNALING_BY_GPCR"
"33","REACTOME_SIGNALING_BY_INTERLEUKINS"
"34","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"35","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"36","REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS"
"37","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"38","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
"39","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"40","REACTOME_TRANSLATION"
"41","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"42","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"
