"","x"
"1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"2","REACTOME_AUTOPHAGY"
"3","REACTOME_BIOLOGICAL_OXIDATIONS"
"4","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"5","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"6","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"7","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"8","REACTOME_CRISTAE_FORMATION"
"9","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"10","REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX"
"11","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"12","REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR"
"13","REACTOME_EPH_EPHRIN_SIGNALING"
"14","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"
"15","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"16","REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS"
"17","REACTOME_HEMOSTASIS"
"18","REACTOME_HIV_INFECTION"
"19","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS"
"20","REACTOME_INFECTIOUS_DISEASE"
"21","REACTOME_INNATE_IMMUNE_SYSTEM"
"22","REACTOME_INTERLEUKIN_10_SIGNALING"
"23","REACTOME_INTERLEUKIN_1_SIGNALING"
"24","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"25","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"26","REACTOME_MEMBRANE_TRAFFICKING"
"27","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"28","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"29","REACTOME_METABOLISM_OF_LIPIDS"
"30","REACTOME_METABOLISM_OF_POLYAMINES"
"31","REACTOME_METABOLISM_OF_STEROIDS"
"32","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"33","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"34","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"35","REACTOME_NEUTROPHIL_DEGRANULATION"
"36","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"37","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"38","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"39","REACTOME_PROGRAMMED_CELL_DEATH"
"40","REACTOME_PROTEIN_LOCALIZATION"
"41","REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY"
"42","REACTOME_SIGNALING_BY_GPCR"
"43","REACTOME_SIGNALING_BY_INTERLEUKINS"
"44","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"45","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"46","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"47","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
"48","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"49","REACTOME_TRANSLATION"
"50","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
"51","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"52","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"
