"","x"
"1","REACTOME_STRIATED_MUSCLE_CONTRACTION"
"2","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3"
"3","REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION"
"4","REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ"
"5","REACTOME_HDACS_DEACETYLATE_HISTONES"
"6","REACTOME_MUSCLE_CONTRACTION"
"7","REACTOME_HATS_ACETYLATE_HISTONES"
"8","REACTOME_CHROMATIN_MODIFYING_ENZYMES"
"9","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"10","REACTOME_INFECTIOUS_DISEASE"
"11","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"12","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"13","REACTOME_MEMBRANE_TRAFFICKING"
"14","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"15","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"16","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"17","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
"18","REACTOME_SIGNALING_BY_GPCR"
"19","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"20","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"21","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"
"22","REACTOME_HEMOSTASIS"
"23","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"24","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"25","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"26","REACTOME_PROGRAMMED_CELL_DEATH"
"27","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"
"28","REACTOME_PROTEIN_LOCALIZATION"
"29","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"30","REACTOME_BIOLOGICAL_OXIDATIONS"
"31","REACTOME_HIV_INFECTION"
"32","REACTOME_RAC3_GTPASE_CYCLE"
"33","REACTOME_METABOLISM_OF_LIPIDS"
"34","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"35","REACTOME_TP53_REGULATES_METABOLIC_GENES"
"36","REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA"
"37","REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY"
"38","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"39","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"40","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"41","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS"
"42","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"43","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"44","REACTOME_INNATE_IMMUNE_SYSTEM"
"45","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"46","REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES"
"47","REACTOME_INTERLEUKIN_10_SIGNALING"
"48","REACTOME_TCR_SIGNALING"
"49","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"50","REACTOME_EPH_EPHRIN_SIGNALING"
"51","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"52","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"53","REACTOME_SIGNALING_BY_INTERLEUKINS"
"54","REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS"
"55","REACTOME_CRISTAE_FORMATION"
"56","REACTOME_NEUTROPHIL_DEGRANULATION"
"57","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
