"","x"
"1","REACTOME_CD22_MEDIATED_BCR_REGULATION"
"2","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT"
"3","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION"
"4","REACTOME_FCGR_ACTIVATION"
"5","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS"
"6","REACTOME_STRIATED_MUSCLE_CONTRACTION"
"7","REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA"
"8","REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION"
"9","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION"
"10","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL"
"11","REACTOME_PARASITE_INFECTION"
"12","REACTOME_PD_1_SIGNALING"
"13","REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION"
"14","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL"
"15","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"16","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"17","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"18","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"19","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"
"20","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"21","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"22","REACTOME_MEMBRANE_TRAFFICKING"
"23","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"24","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"25","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"
"26","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"27","REACTOME_SIGNALING_BY_INTERLEUKINS"
"28","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"29","REACTOME_AUTOPHAGY"
"30","REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS"
"31","REACTOME_NEUTROPHIL_DEGRANULATION"
"32","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"33","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"
"34","REACTOME_TRANSLATION"
"35","REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES"
"36","REACTOME_METABOLISM_OF_LIPIDS"
"37","REACTOME_TP53_REGULATES_METABOLIC_GENES"
"38","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"39","REACTOME_INTERLEUKIN_1_SIGNALING"
"40","REACTOME_SIGNALING_BY_PTK6"
"41","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"42","REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS"
"43","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"44","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"45","REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE"
"46","REACTOME_PROTEIN_LOCALIZATION"
"47","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"48","REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS"
"49","REACTOME_RHOQ_GTPASE_CYCLE"
"50","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"51","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"52","REACTOME_EPH_EPHRIN_SIGNALING"
"53","REACTOME_CRISTAE_FORMATION"
"54","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"55","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
