"","x"
"1","REACTOME_STRIATED_MUSCLE_CONTRACTION"
"2","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"3","REACTOME_INFECTIOUS_DISEASE"
"4","REACTOME_MEMBRANE_TRAFFICKING"
"5","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"6","REACTOME_HEMOSTASIS"
"7","REACTOME_SIGNALING_BY_GPCR"
"8","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"9","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"10","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
"11","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"12","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"13","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"14","REACTOME_TRANSLATION"
"15","REACTOME_METABOLISM_OF_LIPIDS"
"16","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"17","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"18","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"19","REACTOME_BIOLOGICAL_OXIDATIONS"
"20","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"21","REACTOME_INNATE_IMMUNE_SYSTEM"
"22","REACTOME_PROTEIN_LOCALIZATION"
"23","REACTOME_TP53_REGULATES_METABOLIC_GENES"
"24","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"25","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"26","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"27","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE"
"28","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY"
"29","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"30","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"31","REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS"
"32","REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE"
"33","REACTOME_EPH_EPHRIN_SIGNALING"
"34","REACTOME_NEUTROPHIL_DEGRANULATION"
"35","REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING"
"36","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"37","REACTOME_INTERLEUKIN_10_SIGNALING"
"38","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"39","REACTOME_CRISTAE_FORMATION"
"40","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"41","REACTOME_NGF_STIMULATED_TRANSCRIPTION"
"42","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
