"","x"
"1","REACTOME_STRIATED_MUSCLE_CONTRACTION"
"2","REACTOME_MUSCLE_CONTRACTION"
"3","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3"
"4","REACTOME_HDACS_DEACETYLATE_HISTONES"
"5","REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS"
"6","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"7","REACTOME_INFECTIOUS_DISEASE"
"8","REACTOME_SIGNALING_BY_GPCR"
"9","REACTOME_HEMOSTASIS"
"10","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"11","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"12","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"13","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"14","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
"15","REACTOME_MEMBRANE_TRAFFICKING"
"16","REACTOME_TRANSLATION"
"17","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"18","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"19","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"20","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"21","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"22","REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION"
"23","REACTOME_RHO_GTPASES_ACTIVATE_FORMINS"
"24","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"
"25","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"26","REACTOME_PROGRAMMED_CELL_DEATH"
"27","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"28","REACTOME_BIOLOGICAL_OXIDATIONS"
"29","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"30","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"31","REACTOME_INNATE_IMMUNE_SYSTEM"
"32","REACTOME_METABOLISM_OF_LIPIDS"
"33","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"34","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"35","REACTOME_MITOCHONDRIAL_TRANSLATION"
"36","REACTOME_METABOLISM_OF_STEROIDS"
"37","REACTOME_TP53_REGULATES_METABOLIC_GENES"
"38","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"39","REACTOME_HIV_INFECTION"
"40","REACTOME_PROTEIN_LOCALIZATION"
"41","REACTOME_RHOQ_GTPASE_CYCLE"
"42","REACTOME_REGULATION_OF_RAS_BY_GAPS"
"43","REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA"
"44","REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS"
"45","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"46","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"47","REACTOME_NEUTROPHIL_DEGRANULATION"
"48","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS"
"49","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"50","REACTOME_EPH_EPHRIN_SIGNALING"
"51","REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX"
"52","REACTOME_CRISTAE_FORMATION"
"53","REACTOME_INTERLEUKIN_1_SIGNALING"
"54","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"55","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"56","REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR"
"57","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"58","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
